鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
文山區,房地(土地+建物),興隆路三段221巷4弄1~30號,58.99,都市：其他:第三種住宅區。,,,1100328,土地3建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690910,98.97,3,2,2,有,有,15000000,151561,,0.0,0,陽台外推；其他增建；,RPPPMLLJMHGGFAA66DA,83.17,8.83,6.97,無,
文山區,房地(土地+建物)+車位,辛亥路四段209巷1~30號,17.67,都市：其他:第三種住宅區。,,,1100329,土地1建物1車位1,十二層,二十六層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090430,155.59,3,2,2,有,有,28890000,185680,坡道平面,33.07,0,政府機關標讓售；,RPWNMLMKMHGGFAA37DA,69.97,6.69,7.51,有,
文山區,房地(土地+建物),羅斯福路五段97巷1~30號,44.25,都市：其他:第三種住宅區。,,,1100404,土地1建物1車位0,四層，陽臺,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,,101.22,4,2,1,有,無,13010000,128532,,0.0,0,陽台外推；其他增建；,RPRPMLLLMHGGFAA07DA,101.22,0.0,0.0,無,
文山區,房地(土地+建物)+車位,興德路20巷31~60號,13.72,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種住宅區)。,,,1100327,土地2建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040611,92.31,2,2,1,有,有,13700000,148413,坡道平面,42.9,0,,RPQPMLQJNHGGFAA37DA,27.51,1.23,4.34,有,001
文山區,房地(土地+建物),興隆路三段207巷12弄1~30號,24.12,都市：其他:第二種住宅區。,,,1100325,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730830,92.4,3,2,2,有,有,8300000,89827,,0.0,0,陽台外推；,RPTNMLRJNHGGFAA57DA,68.53,0.0,14.11,無,002
萬華區,土地,華中段二小段181~210地號,4.2,都市：其他:道路用地(公共設施用地)。56/8/25,,,1100429,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,98280,23400,,0.0,0,110年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；,RPQNMLOLMHGGFBA17DA,0.0,0.0,0.0,無,003
萬華區,土地,華中段二小段361~390地號,1.98,都市：其他:道路用地(公共設施用地)。56/8/25,,,1100430,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,46410,23439,,0.0,0,110年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；,RPQOMLOLMHGGFBA27DA,0.0,0.0,0.0,無,
中正區,房地(土地+建物),信義路二段17巷2弄1~30號,15.12,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1100401,土地4建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0870424,42.71,1,2,1,有,無,11700000,273941,,0.0,0,陽台外推；其他增建；,RPRNMLKMMHGGFBA96DA,26.3,0.0,3.74,無,
中正區,房地(土地+建物)+車位,臨沂街57巷32弄1~30號,25.12,都市：其他:第三種住宅區。,,,1100325,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070212,111.27000000000001,2,2,2,有,有,38300000,344208,塔式車位,12.61,0,土地價格：35385326元，建物價格：2914674元。塔式車位位置：地下一樓。,RPQQMLOJNHGGFBA37DA,52.69,5.65,5.08,有,004
大同區,房地(土地+建物)+車位,民權西路121~150號,4.25,都市：其他:第三種商業區。,,,1100319,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970623,55.370000000000005,1,1,1,有,有,10400000,187861,塔式車位,0.0,0,陽台外推；夾層；其他增建；,RPOOMLQJNHGGFBA17DA,23.58,1.23,3.58,有,005
大同區,房地(土地+建物),哈密街59巷78弄1~30號,33.12,都市：其他:第三種住宅區。,,,1100410,土地1建物1車位0,一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880112,146.78,3,2,2,有,有,22300000,151928,,0.0,0,陽台外推；其他增建；,RPWOMLQJNHGGFBA97DA,75.34,1.85,8.78,有,
萬華區,房地(土地+建物)+車位,環河南路二段1~30號,8.62,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1100414,土地2建物1車位1,四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090807,110.99000000000001,2,2,1,有,有,15880000,143076,坡道機械,19.94,0,,RPRPMLRJNHGGFBA67DA,51.91,6.01,3.26,有,006
