鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
西區,房地(土地+建物),大新街1~30號,55.0,都市：其他:第一種商業區,,,1100331,土地1建物1車位0,全,三層,透天厝,商業用,見其他登記事項,0571227,142.68,2,1,3,有,無,13500000,94617,,0.0,0,,RPSPMLRJMHGGFAB67DA,142.68,0.0,0.0,無,
南區,房地(土地+建物)+車位,大慶街一段130巷31~60號,12.81,都市：其他:第三種住宅區。,,,1100312,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0970624,113.78,2,2,1,有,有,8000000,70311,坡道平面,29.39,0,陽台外推；,RPXPMLTJMHGGFAB38DA,48.62,7.98,0.0,有,
南區,房地(土地+建物)+車位,復興北路801巷61~90號,27.01,都市：其他:第二種住宅區,,,1100320,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1070223,143.49,3,2,2,有,有,10300000,71782,坡道平面,24.17,0,,RPOOMLMKMHGGFAB76DA,69.13,9.24,0.0,有,0001
南區,房地(土地+建物)+車位,懷寧街211~240號,24.08,都市：其他:第二種住宅區,,,1100331,土地1建物1車位1,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830901,151.92,4,2,2,有,有,9000000,59242,坡道機械,0.0,0,,RPQOMLMKMHGGFAB96DA,105.61,11.38,0.0,有,0002
南區,房地(土地+建物)+車位,建國南路一段211~240號,15.8,都市：其他:第三種住宅區。,,,1100407,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1020625,151.56,3,2,2,有,有,11300000,74558,坡道平面,24.05,0,,RPRPMLLLMHGGFAB17DA,74.23,13.35,0.0,有,
西區,房地(土地+建物)+車位,忠明南路91~120號,13.1,都市：其他:第三種住宅區。,,,1100331,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0951222,143.62,1,1,1,有,有,12080000,84111,坡道平面,29.29,0,陽台外推；,RPSPMLLLMHGGFAB27DA,74.33,9.68,0.0,有,
東區,房地(土地+建物)+車位,公園東路121~150號,18.94,都市：其他:第四之二種商業區,,,1100317,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1001130,184.84,3,2,2,有,有,12580000,68059,坡道平面,0.0,0,,RPRNMLOLMHGGFAB27DA,92.88,10.76,0.0,有,
東區,房地(土地+建物)+車位,樂業路391~420號,24.42,都市：其他:第二種住宅區,,,1100401,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1040804,168.78,3,2,2,有,有,9460000,56049,坡道平面,39.72,0,,RPQNMLPLMHGGFAB27DA,77.22,7.95,0.0,有,0003
西區,房地(土地+建物),民生路181~210號,4.36,都市：其他:第一種商業區,,,1100422,土地2建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780515,38.52,1,1,1,有,有,2350000,61023,,0.0,0,,RPTOMLRLMHGGFAB87DA,28.51,3.69,0.0,有,0004
中區,房地(土地+建物),興中街121~150號,80.0,都市：其他:第一種商業區,,,1090917,土地1建物1車位0,全,二層,透天厝,住家用,木造,,81.79,6,2,2,有,無,9200000,112483,,0.0,0,其他增建；,RPWQMLRLMHGGFAB38DA,81.79,0.0,0.0,無,
西區,房地(土地+建物),梅川西路二段1~30號,11.33,都市：其他:第二種住宅區,,,1100409,土地1建物1車位0,一層，夾層,二十二層,住宅大樓(11層含以上有電梯),店舖,鋼筋混凝土造,0941223,102.26,3,2,2,有,無,14600000,142773,,0.0,0,夾層；,RPRQMLPJNHGGFAB57DA,79.73,7.33,0.0,無,
南區,房地(土地+建物),東興路一段1~30號,5.84,都市：其他:第三種住宅區。,,,1100330,土地1建物1車位0,五層,三十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0951026,127.18,3,0,3,有,有,6700000,52681,,0.0,0,,RPSQMLPJNHGGFAB67DA,62.79,16.76,0.0,有,0005
西區,土地,麻園頭段151~180地號,40.0,都市：其他:道路用地,,,1100420,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3586800,89670,,0.0,0,包含公共設施保留地用地；,RPWQMLPJNHGGFAB08DA,0.0,0.0,0.0,無,0006
西區,土地,中民段九小段1~30地號,13.0,都市：其他:道路用地,,,1100420,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1284660,98820,,0.0,0,包含公共設施保留地用地；,RPXQMLPJNHGGFAB18DA,0.0,0.0,0.0,無,0007
中區,房地(土地+建物),自由路二段9之1~30號,5.43,都市：其他:道路用地,,,1100428,土地3建物1車位0,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0660719,41.16,1,0,1,有,有,1500000,36443,,0.0,0,,RPQNMLKMMHGGFAB86DA,41.16,0.0,0.0,有,0008
西區,房地(土地+建物),向上路一段289巷1~30號,24.0,都市：其他:第一種商業區,,,1100416,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670921,59.01,4,0,4,有,無,6200000,105067,,0.0,0,其他增建；,RPTOMLPJNHGGFAB57DA,59.01,0.0,0.0,無,
南區,房地(土地+建物),文心南十路211~240號,6.27,都市：其他:第三種住宅區。,,,1100405,土地1建物1車位0,九層,三十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0950622,135.99,3,2,2,有,有,7500000,55147,,0.0,0,陽台外推；,RPRPMLPJNHGGFAB47DA,81.7,18.39,0.0,有,
南區,房地(土地+建物)+車位,學府路61~90號,18.1,都市：其他:第二種住宅區,,,1100414,土地2建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1000729,113.05000000000001,2,2,1,有,有,6800000,60150,坡道機械,15.68,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLQJNHGGFAB27DA,56.86,10.4,0.0,有,0009
東區,房地(土地+建物)+車位,樂業南路31~60號,24.09,都市：其他:第二種住宅區,,,1100411,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1030620,160.95,3,2,2,有,有,11580000,71948,坡道平面,28.1,0,,RPWNMLQJNHGGFAB87DA,76.56,14.69,0.0,有,0010
西區,房地(土地+建物)+車位,梅川西路二段1~30號,10.55,都市：其他:第二種住宅區,,,1100411,土地1建物1車位1,六層，七層,二十七層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0941223,124.79,3,2,2,有,有,9400000,75327,坡道機械,14.89,0,,RPPNMLRJNHGGFAB27DA,66.76,14.5,0.0,有,0011
北區,房地(土地+建物),東光路226巷1~30號,176.0,都市：其他:第二種住宅區,,,1100302,土地2建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0790927,410.27,3,2,2,有,無,24580000,59912,,0.0,0,頂樓加蓋；其他增建；,RPQTMLOJLHGGFBB57DA,405.71,0.0,4.56,無,
北屯區,房地(土地+建物)+車位,瀋陽路一段91~120號,18.57,都市：其他:第二種住宅區,,,1100319,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811002,111.05999999999999,3,2,1,有,有,6200000,55831,升降機械,0.0,600000,陽台外推；其他增建；,RPQTMLTKLHGGFBB18DA,75.6,1.91,11.85,有,
北屯區,房地(土地+建物)+車位,太原路三段1201~1230號,12.57,都市：其他:第三種住宅區。,,,1070429,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091225,99.5,2,2,1,有,有,5550000,59881,坡道機械,12.16,320000,預售屋、或土地及建物分次登記案件；,RPXRMLMLLHGGFBB08DA,50.92,2.97,4.59,有,
北屯區,房地(土地+建物)+車位,東山路一段154巷22弄1~30號,22.44,都市：其他:第二種住宅區,,,1100323,土地2建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080714,154.99,3,2,2,有,有,11280000,79889,坡道平面,32.57,1500000,其他增建；,RPUQMLNLLHGGFBB77DA,74.15,0.0,8.68,有,0012
北屯區,土地,洲際段841~870地號,315.35,,,,1100320,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,44070000,139749,,0.0,0,,RPUVMLQLLHGGFBB58DA,0.0,0.0,0.0,無,
北區,房地(土地+建物),錦南街31~60號,23.11,非都市： ; 非都市編定：,,,1100321,土地8建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0740323,92.89,3,2,2,有,有,5000000,53827,,0.0,0,陽台外推；,RPTPMLQJMHGGFBB77DA,80.52,2.19,10.18,有,
