鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
鼓山區,房地(土地+建物),美術南五街31~60號,28.88,都市：其他:特定第五種住宅區,,,1100326,土地1建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001006,211.67,4,2,2,有,有,12300000,58109,,0.0,0,,RPXOMLQLLHGGFAE38DA,120.17,16.18,0.0,有,
鼓山區,房地(土地+建物)+車位,文忠路31~60號,11.92,都市：其他:第四種商業區,,,1100404,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940421,144.84,3,2,2,有,有,10250000,71996,坡道機械,16.36,1000000,,RPRNMLOJMHGGFAE37DA,77.57,12.74,0.0,有,
鼓山區,房地(土地+建物),長安街1~30號,22.2,都市：其他:第三種商業區,,,1100408,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0800621,109.12,3,2,2,有,無,2450000,22452,,0.0,0,本標的依現況點交，賣方已折讓價金，賣方不負民法規範滲漏水瑕疵保固之責任。,RPUOMLOKMHGGFAE87DA,90.04,3.88,0.0,無,
鼓山區,房地(土地+建物),文忠路121~150號,10.45,都市：其他:第四種商業區,,,1100409,土地1建物1車位0,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981230,127.66999999999999,2,2,2,有,有,8550000,66970,,0.0,0,,RPXNMLPKMHGGFAE18DA,73.27,11.25,0.0,有,0001
鼓山區,房地(土地+建物)+車位,美術東四路451~480號,8.63,都市：其他:特定第四種商業區,,,1100405,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980325,100.52000000000001,2,1,1,有,有,7380000,73418,坡道平面,14.93,0,,RPXNMLQKMHGGFAE28DA,52.43,5.82,0.0,有,0002
鼓山區,房地(土地+建物)+車位,裕國街91~120號,16.03,都市：其他:第五種住宅區,,,1100227,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950316,134.28,3,2,2,有,有,8800000,65535,坡道機械,9.95,0,,RPVOMLTKMHGGFAE48DA,76.18,10.22,0.0,有,
鼓山區,房地(土地+建物)+車位,美術北五街61~90號,36.3,都市：其他:特定第五種住宅區,,,1091102,土地1建物1車位3,八層,二十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1071213,456.22,4,2,5,有,有,39450000,83636,坡道平面,57.47,6100000,,RPVOMLLLMHGGFAE77DA,245.8,30.08,0.0,有,
鼓山區,房地(土地+建物),九如四路1991巷40弄1~30號,89.0,都市：其他:第四種住宅區,,,1100409,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0921208,212.97,5,2,4,有,無,15680000,73625,,0.0,0,,RPXOMLLLMHGGFAE97DA,182.45,30.52,0.0,無,
前金區,房地(土地+建物)+車位,自立橫路91~120號,14.79,都市：其他:第三種商業區,,,1100323,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950303,147.96,3,2,2,有,有,9850000,66572,坡道平面,21.45,0,,RPQPMLLLMHGGFAE37DA,74.39,9.34,0.0,有,0003
鼓山區,房地(土地+建物)+車位,美術北五街61~90號,34.11,都市：其他:特定第五種住宅區,,,1100221,土地1建物1車位2,二十層,二十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1071213,438.87,4,2,5,有,有,39000000,86308,坡道平面,39.14,4500000,,RPVPMLMLMHGGFAE97DA,245.8,31.06,0.0,有,
鹽埕區,房地(土地+建物)+車位,大公路91~120號,8.6,都市：其他:第五種商業區,,,1100311,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1090515,120.91,2,2,2,有,有,8000000,61108,坡道機械,5.54,950000,,RPQNMLNLMHGGFAE37DA,62.47,13.64,0.0,有,
前金區,房地(土地+建物)+車位,光復三街31~60號,10.51,都市：其他:第四種商業區,,,1081117,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1091106,137.12,3,2,2,有,有,10300000,73523,坡道平面,22.87,1900000,,RPUOMLQLMHGGFAE18DA,61.53,12.17,0.0,有,
鹽埕區,房地(土地+建物)+車位,大公路91~120號,7.97,都市：其他:第五種商業區,,,1100310,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1090515,112.34,2,2,2,有,有,8300000,68820,坡道機械,5.54,950000,,RPVPMLTLMHGGFAE68DA,63.16,7.21,0.0,有,
