鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
板橋區,房地(土地+建物)+車位,藝文街361~390號,19.08,都市：其他:第二種住宅區,,,1100303,土地1建物1車位1,十層,十八層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090804,149.1,3,2,2,有,有,19200000,151319,坡道平面,33.12,1650000,含裝潢費；,RPRRMLTJLHGGFAF28DA,66.16,5.3,4.45,有,
板橋區,房地(土地+建物)+車位,藝文街361~390號,17.04,都市：其他:第二種住宅區,,,1100304,土地1建物1車位1,七層,十八層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090804,136.35,3,2,1,有,有,16300000,141916,坡道平面,33.12,1650000,含裝潢費；,RPQSMLTJLHGGFAF28DA,58.25,5.27,4.11,有,
板橋區,房地(土地+建物)+車位,藝文街361~390號,15.28,都市：其他:第二種住宅區,,,1100310,土地1建物1車位1,八層,十八層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090804,125.52,2,2,1,有,有,14380000,141558,坡道平面,33.12,1300000,含裝潢費；,RPSOMLPKLHGGFAF77DA,52.85,3.67,3.92,有,
板橋區,房地(土地+建物)+車位,藝文街361~390號,17.04,都市：其他:第二種住宅區,,,1100313,土地1建物1車位1,十三層,十八層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090804,136.35,3,2,1,有,有,15900000,139010,坡道平面,33.12,1550000,,RPWONLRKLHGGFAF48DA,58.25,5.27,4.11,有,
板橋區,房地(土地+建物)+車位,藝文街361~390號,14.93,都市：其他:第二種住宅區,,,1100326,土地1建物1車位1,十二層,十八層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090804,123.32,2,2,1,有,有,14300000,141353,坡道平面,33.12,1550000,,RPTNMLLJMHGGFAF37DA,51.18,3.72,4.17,有,
板橋區,房地(土地+建物)+車位,藝文街361~390號,15.28,都市：其他:第二種住宅區,,,1100329,土地1建物1車位1,十五層,十八層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090804,125.59,2,2,1,有,有,15150000,148156,坡道平面,33.12,1450000,含裝潢費；,RPUNMLLJMHGGFAF47DA,52.14,3.81,4.56,有,
板橋區,房地(土地+建物)+車位,藝文街361~390號,15.47,都市：其他:第二種住宅區,,,1100326,土地1建物1車位1,十四層,十八層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090804,126.63,2,2,1,有,有,14600000,143300,坡道平面,33.12,1200000,含裝潢費；,RPPOMLLJMHGGFAF07DA,53.6,3.63,3.99,有,
板橋區,房地(土地+建物)+車位,藝文街361~390號,15.62,都市：其他:第二種住宅區,,,1100325,土地1建物1車位1,十一層,十八層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090804,127.69999999999999,2,2,1,有,有,13900000,134278,坡道平面,33.12,1200000,,RPVOMLKMLHGGFAF77DA,54.34,3.63,3.99,有,
板橋區,土地,光仁段661~690地號,81.0,都市：其他:住宅區(附),,,1100224,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15000000,185185,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSQMLRJMHGGFAF18DA,0.0,0.0,0.0,無,0001
土城區,房地(土地+建物),福祥街1~30號,14.27,都市：其他:第一種住宅區,,,1100310,土地1建物1車位0,八層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,79.41,3,1,2,有,有,9000000,113336,,0.0,0,頂樓加蓋；,RPSWMLSJMHGGFAF88DA,57.8,0.0,11.48,有,
土城區,土地,頂福段631~660地號,40.33,都市：其他:道路用地,,,1100412,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,99182,,0.0,0,包含公共設施保留地用地；,RPROMLNKMHGGFAF57DA,0.0,0.0,0.0,無,0002
土城區,房地(土地+建物),仁愛路54巷22弄1~30號,34.04,都市：其他:第一種住宅區,,,1100411,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700918,93.84,3,2,2,有,無,8500000,90580,,0.0,0,陽台外推；,RPRTMLOKMHGGFAF18DA,82.71,0.0,11.13,無,0003
板橋區,房地(土地+建物)+車位,文化路二段211~240號,21.49,都市：其他:住宅區,,,1100412,土地2建物1車位1,六層,十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨鋼筋混凝土造,1081101,205.44,3,2,2,有,有,36600000,191927,坡道平面,28.55,2650000,,RPXOMLNLMHGGFAF28DA,93.31,11.45,7.31,有,
板橋區,房地(土地+建物)+車位,文化路二段211~240號,20.79,都市：其他:住宅區,,,1100421,土地2建物1車位2,三層,十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨鋼筋混凝土造,1081101,208.31,3,2,2,有,有,34150000,192778,坡道平面,57.1,5000000,,RPOPMLNLMHGGFAF47DA,81.5,8.02,6.29,有,
板橋區,房地(土地+建物)+車位,文化路二段211~240號,21.49,都市：其他:住宅區,,,1100421,土地2建物1車位1,十三層,十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨鋼筋混凝土造,1081101,205.44,3,2,2,有,有,36000000,189101,坡道平面,28.55,2550000,,RPPPMLNLMHGGFAF57DA,93.31,11.45,7.31,有,
土城區,房地(土地+建物),裕民路136巷1~30號,27.64,都市：其他:第二種住宅區,,,1100417,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741016,102.13,3,2,2,有,無,8330000,81563,,0.0,0,,RPPTNLNLMHGGFAF08DA,90.75,0.0,11.38,無,0004
板橋區,車位,長江路一段361~390號,0.5,都市：其他:住宅區,,,1100415,土地1建物1車位1,,,其他,,,,34.91,0,0,0,有,有,2000000,,坡道平面,34.91,2000000,僅車位交易；,RPOSMLQLMHGGFAF08DA,0.0,0.0,0.0,有,0005
土城區,房地(土地+建物)+車位,延吉街381巷1~30號,35.3,都市：其他:第二種住宅區,,,1091122,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970118,213.03,4,2,2,有,有,24750000,116181,坡道平面,34.66,0,其他增建；,RPTSMLQLMHGGFAF58DA,107.63,2.94,13.48,有,
板橋區,房地(土地+建物)+車位,藝文街391~420號,16.66,都市：其他:第二種住宅區,,,1100401,土地1建物1車位1,十七層,十八層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090804,134.15,3,2,1,有,有,15680000,139859,坡道平面,33.12,1550000,,RPTNMLSLMHGGFAF28DA,56.95,5.01,4.13,有,
