鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
桃園區,房地(土地+建物)+車位,文中一路241~270號,38.56,都市：其他:第一之一種住宅區,,,1091202,土地1建物1車位2,十五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090407,306.29999999999995,3,2,2,有,有,29080000,105285,坡道平面,63.34,3500000,,RPWVMLQLJHGGFAH09DA,130.51,15.54,16.77,有,
桃園區,房地(土地+建物),仁愛路87巷1~30號,24.77,都市：其他:第二種住宅區,,,1100301,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0781106,133.16,4,2,2,有,有,7600000,57074,,0.0,0,,RPVSMLKMLHGGFAH38DA,101.5,0.0,10.19,有,0001
桃園區,房地(土地+建物)+車位,中正路1051~1080號,20.51,都市：其他:商業區,,,1100327,土地1建物1車位2,七層,十八層,住宅大樓(11層含以上有電梯),辦公室,鋼筋混凝土造,1070403,202.56,2,2,1,有,有,19600000,96761,坡道平面,82.68,0,,RPORMLQKMHGGFAH08DA,62.82,2.68,8.56,有,0002
桃園區,房地(土地+建物)+車位,龍城一街61~90號,15.11,都市：其他:第二種住宅區,,,1100417,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080515,119.35,2,2,1,有,有,6900000,57813,坡道平面,38.78,0,,RPPNMLRKMHGGFAH87DA,52.76,0.0,5.26,有,0003
桃園區,土地,三元段481~510地號,31.41,都市：其他:乙種工業區,,,1100416,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1710000,54441,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPUOMLSKMHGGFAH58DA,0.0,0.0,0.0,無,0004
桃園區,土地,三元段481~510地號,31.41,都市：其他:乙種工業區,,,1100416,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1710000,54441,,0.0,0,未登記建物；,RPWOMLSKMHGGFAH78DA,0.0,0.0,0.0,無,0004
桃園區,房地(土地+建物),國豐三街1~30號,7.43,都市：其他:第二種住宅區,,,1100319,土地1建物1車位0,七層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841215,64.96000000000001,2,2,2,有,有,4150000,63885,,0.0,0,,RPUSMLTKMHGGFAH09DA,51.57,1.81,4.4,有,0006
桃園區,房地(土地+建物)+車位,正光路181~210號,51.78,都市：其他:第一之一種住宅區,,,1100316,土地1建物1車位3,十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070507,403.86,4,2,3,有,有,37600000,99784,坡道平面,75.15,4800000,,RPWQMLKLMHGGFAH28DA,54.1,0.0,3.95,有,
桃園區,房地(土地+建物)+車位,經國路336巷61~90號,22.64,都市：其他:住宅區,,,1100321,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951215,139.78,3,2,2,有,有,10600000,75833,坡道平面,23.92,0,,RPVSMLLLMHGGFAH48DA,78.41,1.9,3.65,有,
桃園區,房地(土地+建物)+車位,正光路181~210號,51.78,都市：其他:第一之一種住宅區,,,1100107,土地1建物1車位3,十七層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070507,403.86,4,2,3,有,有,38600000,102826,坡道平面,75.15,4800000,,RPQTMLLLMHGGFAH08DA,200.55,5.63,18.79,有,
桃園區,房地(土地+建物)+車位,正光路181~210號,51.78,都市：其他:第一之一種住宅區,,,1100401,土地1建物1車位3,六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070507,403.86,4,2,3,有,有,37900000,100697,坡道平面,75.15,4800000,,RPRTMLLLMHGGFAH18DA,401.1,11.26,37.58,有,
桃園區,房地(土地+建物)+車位,中華路91~120號,26.92,都市：其他:商業區,,,1090930,土地1建物1車位1,一層，二層,二十四層,住宅大樓(11層含以上有電梯),店鋪、集合住宅,鋼筋混凝土造,1091201,284.56,0,0,0,無,有,62100000,240483,坡道平面,34.23,1900000,,RPTSMLMLMHGGFAH38DA,129.96,0.0,38.81,有,
桃園區,房地(土地+建物)+車位,正光路181~210號,50.5,都市：其他:第一之一種住宅區,,,1100323,土地1建物1車位2,十層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070507,378.81,4,2,3,有,有,36200000,99176,坡道平面,50.1,3600000,,RPWRMLNLMHGGFAH68DA,200.55,5.63,18.79,有,
桃園區,土地,延壽段1231~1260地號,25.55,都市：其他:商業區,,,1100404,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4133259,161771,,0.0,0,含土地增值稅或其他稅費268859元；,RPTQMLRLMHGGFAH68DA,0.0,0.0,0.0,無,
桃園區,土地,三元段481~510地號,87.95,都市：其他:乙種工業區,,,1100415,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6989800,79475,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPSNMLTLMHGGFAH48DA,0.0,0.0,0.0,無,0004
桃園區,房地(土地+建物)+車位,大業路一段91~120號,14.74,都市：其他:住宅區,,,1100309,土地1建物1車位1,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930915,115.68,2,2,1,有,有,6500000,56189,坡道平面,40.53,0,,RPQOMLTLMHGGFAH38DA,46.51,0.0,6.94,有,0008
桃園區,房地(土地+建物),大業路二段151~180號,81.78,都市：其他:住宅區,,,1100405,土地1建物1車位0,全,四層,透天厝,店舖、住宅（附屬停車空間、樓梯間）,鋼筋混凝土造,0970305,328.2,4,3,4,有,有,28100000,85619,,0.0,0,,RPUOMLKMMHGGFAH97DA,249.59,16.97,27.88,有,
桃園區,房地(土地+建物)+車位,經國路181~210號,21.45,都市：其他:住宅區,,,1100411,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940127,215.19,4,2,2,有,有,17550000,81556,坡道平面,0.0,0,,RPSQMLOJNHGGFAH18DA,117.94,0.0,22.88,有,
桃園區,房地(土地+建物)+車位,門街91~120號,20.67,都市：其他:住宅區,,,1090917,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091211,144.48,3,2,2,有,有,10000000,77095,坡道平面,36.82,1700000,,RPPRMLOJNHGGFAH97DA,65.96,0.0,7.2,有,
桃園區,房地(土地+建物)+車位,正光二街261巷1~30號,27.09,都市：其他:住宅區,,,1090201,土地1建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100315,176.91000000000003,3,2,2,有,有,13670000,86358,坡道平面,38.88,1750000,預售屋、或土地及建物分次登記案件；,RPSSMLOJNHGGFAH38DA,85.03,0.0,7.7,有,
桃園區,房地(土地+建物)+車位,正光二街261巷1~30號,30.41,都市：其他:住宅區,,,1090422,土地1建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100315,194.63,4,2,2,有,有,15000000,84430,坡道平面,38.88,1850000,預售屋、或土地及建物分次登記案件；,RPUSMLOJNHGGFAH58DA,93.95,0.0,10.69,有,
桃園區,房地(土地+建物)+車位,大興西路二段181~210號,6.69,都市：其他:住宅區,,,1100325,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0921114,94.38,1,1,1,有,有,6410000,67917,坡道平面,0.0,0,陽台外推；,RPSVMLOJNHGGFAH68DA,28.45,0.0,17.74,有,
桃園區,房地(土地+建物)+車位,大興西路二段69巷61~90號,19.0,都市：其他:住宅區,,,1100408,土地2建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000309,137.95,2,2,2,有,有,11150000,80826,坡道平面,32.44,0,,RPWOMLPJNHGGFAH48DA,65.19,1.38,7.6,有,0009
桃園區,房地(土地+建物),桃源街1~30號,6.3,都市：其他:商業區,,,1100305,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030627,41.22,0,0,0,無,有,3000000,72780,,0.0,0,其他增建；,RPQQMLQJNHGGFAH18DA,18.64,0.0,5.1,有,
桃園區,房地(土地+建物)+車位,宏昌六街1~30號,28.01,都市：其他:乙種工業區,,,1100323,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),運動休閒設施,鋼筋混凝土造,1020902,157.31,3,3,2,有,有,9150000,58165,坡道平面,0.0,0,,RPRQMLQJNHGGFAH28DA,71.43,9.44,8.72,有,0010
桃園區,房地(土地+建物)+車位,正光二街261巷1~30號,30.41,都市：其他:住宅區,,,1080709,土地1建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100315,194.63,4,2,2,有,有,15300000,87640,坡道平面,38.88,1650000,預售屋、或土地及建物分次登記案件；,RPUQMLQJNHGGFAH58DA,93.95,0.0,10.69,有,
桃園區,房地(土地+建物)+車位,正光二街261巷1~30號,27.09,都市：其他:住宅區,,,1081018,土地1建物1車位1,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100315,176.91000000000003,3,2,2,有,有,14080000,88604,坡道平面,38.88,1850000,預售屋、或土地及建物分次登記案件；,RPWQMLQJNHGGFAH78DA,85.03,0.0,7.7,有,
桃園區,房地(土地+建物)+車位,正光二街261巷1~30號,24.64,都市：其他:住宅區,,,1081007,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100315,164.8,3,2,2,有,有,12800000,86960,坡道平面,38.88,1850000,預售屋、或土地及建物分次登記案件；,RPXQMLQJNHGGFAH88DA,77.07,0.0,7.51,有,
桃園區,房地(土地+建物)+車位,正光二街261巷1~30號,24.64,都市：其他:住宅區,,,1090307,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100315,164.31,3,2,2,有,有,12930000,88336,坡道平面,38.88,1850000,預售屋、或土地及建物分次登記案件；,RPORMLQJNHGGFAH08DA,77.07,0.0,7.18,有,
桃園區,房地(土地+建物)+車位,正光二街261巷1~30號,27.44,都市：其他:住宅區,,,1090701,土地1建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100315,178.54,3,2,2,有,有,12800000,83417,坡道平面,38.88,1150000,預售屋、或土地及建物分次登記案件；,RPPRMLQJNHGGFAH18DA,86.18,0.0,7.62,有,
桃園區,房地(土地+建物)+車位,正光二街261巷1~30號,30.41,都市：其他:住宅區,,,1081211,土地1建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100315,194.53,4,2,2,有,有,15200000,87054,坡道平面,38.88,1650000,預售屋、或土地及建物分次登記案件；,RPQRMLQJNHGGFAH28DA,94.17,0.0,10.37,有,
桃園區,房地(土地+建物)+車位,正光二街261巷1~30號,30.41,都市：其他:住宅區,,,1081227,土地1建物1車位1,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100315,194.53,4,2,2,有,有,15200000,86412,坡道平面,38.88,1750000,預售屋、或土地及建物分次登記案件；,RPSRMLQJNHGGFAH48DA,94.17,0.0,10.37,有,
桃園區,房地(土地+建物)+車位,正光二街261巷1~30號,30.41,都市：其他:住宅區,,,1081105,土地1建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100315,194.53,3,2,2,有,有,15460000,87440,坡道平面,38.88,1850000,預售屋、或土地及建物分次登記案件；,RPTRMLQJNHGGFAH58DA,94.17,0.0,10.37,有,
桃園區,房地(土地+建物)+車位,正光一街241~270號,26.39,都市：其他:住宅區,,,1081205,土地1建物1車位1,一層,十一層,住宅大樓(11層含以上有電梯),店舖,鋼筋混凝土造,1100315,174.74,3,2,2,有,有,20680000,140071,坡道平面,38.88,1650000,預售屋、或土地及建物分次登記案件；,RPURMLQJNHGGFAH68DA,85.79,0.0,5.44,有,
桃園區,房地(土地+建物)+車位,正光路421~450號,16.41,都市：其他:第一之一種住宅區,,,1100305,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),辦公室,鋼筋混凝土造,1100127,128.04,0,0,0,無,有,10880000,87201,坡道平面,24.83,1880000,預售屋、或土地及建物分次登記案件；,RPPUMLQJNHGGFAH48DA,61.39,0.0,4.1,有,
桃園區,房地(土地+建物),福祿街1~30號,84.0,都市：其他:住宅區,,,1100407,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0591205,123.22,3,1,2,有,無,11500000,93329,,0.0,0,,RPRUMLQJNHGGFAH68DA,123.22,0.0,0.0,無,
桃園區,房地(土地+建物),復興路31~60號,2.45,都市：其他:商業區,,,1100419,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931015,32.22,1,1,1,有,有,1700000,52762,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUPMLRJNHGGFAH58DA,16.74,0.0,4.96,有,
桃園區,房地(土地+建物),永安路314巷1~30號,136.0,都市：其他:住宅區,,,1100412,土地1建物1車位0,全,一層,透天厝,住家用,鋼骨造,0990801,81.5,3,1,1,有,無,9200000,112883,,0.0,0,,RPOQMLKKNHGGFAH47DA,71.78,9.72,0.0,無,0011
中壢區,房地(土地+建物)+車位,高鐵南路二段331~360號,18.53,都市：其他:捷運車站專用區,,,1091012,土地2建物1車位1,七層,二十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080329,171.81,1,1,2,有,有,16950000,116412,坡道平面,40.81,1700000,含裝潢費；含傢俱設備費；,RPWRMLLKLHGGFBH38DA,76.39,0.0,8.94,有,
中壢區,房地(土地+建物)+車位,環北路61~90號,24.02,都市：其他:住宅區,,,1100316,土地2建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790912,212.67,4,2,2,有,有,11000000,51723,坡道平面,0.0,1200000,陽台外推；其他增建；,RPPTMLQKLHGGFBH38DA,124.58,0.0,18.27,有,
中壢區,房地(土地+建物),榮安十三街193巷1~30號,13.01,都市：其他:住宅區,,,1100324,土地1建物1車位0,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0921024,105.07000000000001,3,2,2,有,有,5580000,53107,,0.0,0,陽台外推；,RPOOMLTLLHGGFBH18DA,68.32,1.09,9.04,有,
中壢區,房地(土地+建物)+車位,後興路一段61~90號,22.37,都市：其他:住宅區,,,1100404,土地1建物1車位1,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890120,153.62,4,2,2,有,有,7750000,49920,坡道平面,22.41,1200000,陽台外推；其他增建；,RPPNMLOJMHGGFBH57DA,88.86,0.0,9.17,有,0012
中壢區,房地(土地+建物),莊敬路829巷1~30號,12.11,都市：其他:住宅區,,,1100402,土地1建物1車位0,一層,十三層,住宅大樓(11層含以上有電梯),補習班,鋼筋混凝土造,1030725,79.99000000000001,0,0,0,無,有,12000000,150019,,0.0,0,,RPXNMLQJMHGGFBH58DA,56.1,0.0,0.0,有,0013
中壢區,房地(土地+建物),日新路73巷1~30號,24.58,都市：其他:住宅區,,,1100405,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690829,77.47,5,0,5,有,無,4570000,58991,,0.0,0,,RPPPMLRJMHGGFBH08DA,77.47,0.0,0.0,無,0014
中壢區,房地(土地+建物),振興街121~150號,4.58,都市：其他:住宅區,,,1100407,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780520,25.189999999999998,1,0,1,有,有,1480000,58753,,0.0,0,,RPSTMLRJMHGGFBH78DA,14.3,0.0,3.58,有,
中壢區,房地(土地+建物)+車位,領航南路三段241~270號,12.19,都市：其他:第二種商業區,,,1100316,土地1建物1車位1,十四層,十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080823,131.39,1,2,1,有,有,13150000,123111,坡道平面,36.76,1500000,,RPWTMLSJMHGGFBH66DA,56.4,1.58,4.85,有,
中壢區,房地(土地+建物)+車位,領航南路三段241~270號,14.41,都市：其他:第二種商業區,,,1100306,土地1建物1車位1,十五層,十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080823,140.13,3,2,1,有,有,15360000,126703,坡道平面,31.53,1600000,,RPSNMLTJMHGGFBH38DA,63.69,3.45,4.97,有,
中壢區,房地(土地+建物)+車位,金山街23巷1~30號,15.27,都市：其他:住宅區,,,1100327,土地1建物1車位1,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0900402,134.5,3,2,2,有,有,6000000,44610,坡道平面,0.0,0,,RPVNMLNKMHGGFBH18DA,71.74,0.0,3.98,有,
中壢區,土地,山下段2671~2700地號,1440.0,,特定農業區,農牧用地,1100330,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14000000,9722,,0.0,0,,RPPOMLOKMHGGFBH77DA,0.0,0.0,0.0,無,0015
中壢區,房地(土地+建物),榮安七街55巷1~30號,69.65,都市：其他:住宅區,,,1100327,土地1建物1車位0,全,四層,透天厝,停車空間、集合住宅,鋼筋混凝土造,0870914,250.84,5,3,3,有,有,10450000,41660,,0.0,0,未登記建物；,RPOUMLOKMHGGFBH28DA,214.81,0.0,14.8,無,
觀音區,土地,富溪段181~210地號,129.52,都市：其他:,,,1100331,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6580000,50803,,0.0,0,,RPSNMLPKMHGGFBH08DA,0.0,0.0,0.0,無,
