鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,total_floor
文山區,房地(土地+建物),興隆路二段217巷1~30號,8.65,都市：其他:第三種住宅區。,,,1091029,土地1建物1車位0,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850715,40.989999999999995,1,1,1,有,有,7300000,178092,,0.0,0,陽台外推；其他增建；,RPWOMLKKJIPFFAA87DA,25.66,0.7,5.79,有,,13
萬華區,房地(土地+建物),開封街二段61~90號,4.21,都市：其他:第四種商業區。,,,1091107,土地1建物1車位0,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841201,36.01,0,1,1,有,有,5780000,160511,,0.0,0,陽台外推；其他增建；,RPWRMLRJKIPFFBA98DA,19.99,0.0,5.33,有,,16
松山區,房地(土地+建物)+車位,八德路四段511~540號,21.49,都市：其他:第三種商業區。,,,1091021,土地1建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910612,207.67000000000002,4,2,2,有,有,41580000,200222,升降平面,39.45,0,其他增建；,RPVNMLOLJIPFFDA48DA,107.34,0.0,11.18,有,,13
北投區,房地(土地+建物)+車位,磺港路121~150號,31.9,都市：其他:第三種住宅區。,,,1091114,土地1建物1車位1,五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080725,256.94,4,2,3,有,有,40680000,174064,坡道平面,38.17,2600000,,RPVNMLRKJIPFFEA78DA,127.98,4.03,10.55,有,,18
北投區,房地(土地+建物)+車位,磺港路121~150號,31.93,都市：其他:第三種住宅區。,,,1091114,土地1建物1車位2,八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080725,295.11,4,2,3,有,有,44580000,180921,坡道平面,76.34,5000000,,RPXNMLRKJIPFFEA98DA,127.98,4.03,10.55,有,,18
北投區,房地(土地+建物)+車位,泉源路31~60號,48.35,都市：其他:第三種住宅區。,,,1090615,土地1建物1車位2,十三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050315,332.08000000000004,0,0,0,無,有,48000000,144543,坡道平面,61.68,0,陽台外推；,RPTNMLRLJIPFFEA68DA,155.32,7.51,14.47,有,14.0,19
大安區,房地(土地+建物)+車位,瑞安街81巷1~30號,55.68,都市：其他:第三種住宅區。,,,1091003,土地1建物2車位3,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980213,417.67,4,2,4,有,有,118880000,284627,坡道平面,0.0,0,陽台外推；其他增建；,RPQPMLNJKIPFFFA18DA,205.24,32.69,15.25,有,,13
松山區,房地(土地+建物),南京東路五段151~180號,10.99,都市：其他:第二種商業區 但是否在道路用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,,,1091111,土地2建物1車位0,十層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0731106,140.61,4,2,2,有,有,30500000,216912,,0.0,0,,RPXOMLKMJIPFFDA58EA,103.71,0.0,13.12,有,,16
大安區,房地(土地+建物)+車位,復興南路二段151巷31~60號,4.99,都市：其他:第三種住宅區。,,,1091115,土地1建物1車位1,十三層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740522,25.72,2,2,1,有,有,5650000,219588,坡道平面,0.0,0,車位抽籤親友、員工、共有人或其他特殊關係間之交易；,RPPNMLKKKIPFFFA77EA,18.78,0.32,1.77,有,31.0,17
大安區,房地(土地+建物),建國南路一段307巷1~30號,16.02,都市：其他:道路用地(公共設施用地)。62/3/7,,,1091114,土地2建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0760226,105.97,3,2,2,有,有,27550000,259979,,0.0,0,,RPVNMLLKKIPFFFA48EA,93.41,1.23,11.33,有,32.0,14
大安區,房地(土地+建物)+車位,敦南街61~90號,61.4,都市：其他:第三種住宅區。,,,1090122,土地1建物1車位3,九層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1051005,529.31,4,2,4,有,有,190000000,358958,坡道平面,88.8,0,,RPXNMLLKKIPFFFA68EA,244.0,23.55,26.85,有,,27
士林區,房地(土地+建物)+車位,中山北路七段61~90號,114.76,都市：其他:第三種住宅區。,,,1091124,土地1建物1車位6,十二層,十九層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1030811,729.9200000000001,4,2,5,有,有,215880000,379415,坡道平面,208.38,18000000,,RPTNMLKKKIPFFEA08EA,301.28,6.29,26.19,有,34.0,19
士林區,房地(土地+建物)+車位,劍潭路61~90號,31.85,都市：其他:第三種住宅區。,,,1091119,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960122,162.14,2,2,2,有,有,29100000,200407,坡道平面,29.4,2500000,陽台外推；其他增建；,RPSPMLKKKIPFFEA18EA,85.47,4.55,8.33,有,36.0,14
南港區,房地(土地+建物),東新街91~120號,14.38,都市：其他:第一種商業區。,,,1091106,土地1建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000531,112.17000000000002,2,2,2,有,有,29500000,262994,,0.0,0,,RPQNMLKKKIPFFDA67EA,61.56,4.35,8.24,有,,15
文山區,房地(土地+建物),木柵路二段109巷100弄1~30號,13.37,都市：其他:第二種住宅區。,,,1091031,土地2建物1車位0,十四層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850925,29.15,1,0,1,有,有,3600000,123499,,0.0,0,其他增建；,RPTOMLKKKIPFFAA77EA,17.62,0.89,4.08,有,,17
大安區,房地(土地+建物)+車位,安和路二段91~120號,23.4,都市：其他:第三之一種住宅區。,,,1090802,土地2建物1車位1,十六層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780810,264.52,4,2,2,有,有,73080000,276274,坡道平面,0.0,0,陽台外推；,RPUOMLMKJIPFFFA38DA,194.12,0.0,38.42,有,,25
士林區,房地(土地+建物)+車位,中山北路七段82巷1~30號,65.32,都市：其他:第三種住宅區。,,,1090923,土地1建物1車位2,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0940812,309.05,3,2,2,有,有,69500000,224883,坡道平面,0.0,0,陽台外推；其他增建；,RPWQMLTJKIPFFEA76DA,148.29,0.0,17.83,有,,14
北投區,房地(土地+建物)+車位,裕民六路121~150號,18.87,都市：其他:第三種商業區。,,,1091028,土地1建物1車位2,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040305,246.22,4,2,2,有,有,56800000,230688,坡道機械,56.14,0,,RPUOMLKKKIPFFEA18DA,109.4,8.28,9.96,有,56.0,14
中山區,房地(土地+建物),天祥路61~90號,3.91,都市：其他:第三種商業區。,,,1091117,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931203,42.57,1,1,1,有,有,11330000,266150,,0.0,0,陽台外推；夾層；其他增建；,RPXQMLSJKIPFFCA56DA,24.14,0.92,4.14,有,64.0,14
